name,count
ALEKSA ,6
ALEKSANDAR ,224
ALEKSANDER ,1493
ALEKSANDR ,190
ALEKSANDRAS ,24
ALEKSANDRS ,59
ALEKSAS ,21
ALEKSEI ,26
ALEKSEJ ,7
ALEKSEJS ,8
ALEKSEY ,19
ALEKSI ,17
ALEKSIS ,7
ALEKSS ,33
ALEKSY ,21
ALEM ,3
ALEN ,63
ALEND ,9
ALENS ,3
ALES ,5
ALESANDRO ,3
ALESIO ,12
ALESSANDRO ,1126
ALESSIO ,452
ALEX ,28654
ALEXANDA ,69
ALEXANDAR ,48
ALEXANDER ,69929
ALEXANDER-JAMES ,22
ALEXANDR ,42
ALEXANDRE ,763
ALEXANDRO ,57
ALEXANDROS ,501
ALEXANDRU ,628
ALEXAVIER ,7
ALEXEI ,195
ALEXEY ,58
ALEXI ,107
ALEXIE ,3
ALEXIOS ,7
ALEXIS ,445
ALEX-JAMES ,23
ALEX-JAY ,3
ALEX-JUNIOR ,3
ALEXSANDER ,3
ALEXY ,3
ALEXZANDER ,105
ALF ,54
ALFEE ,14
ALFEY ,16
ALFFI ,36
ALFFIE ,3
ALFI ,116
ALFIE ,66304
ALFIE- ,6
ALFIE-DEAN ,3
ALFIEE ,3
ALFIE-GEORGE ,60
ALFIE-J ,10
ALFIE-JACK ,96
ALFIE-JAI ,37
ALFIE-JAMES ,347
ALFIE-JAY ,205
ALFIE-JOE ,111
ALFIE-JOHN ,85
ALFIE-JOSEPH ,3
ALFIE-JUNIOR ,3
ALFIE-LEE ,281
ALFIE-PAUL ,3
ALFIE-RAY ,46
ALFIE-RYAN ,3
ALFIE-THOMAS ,22
ALFIE-WILLIAM ,3
ALFIN ,3
ALFIO ,3
ALFONSO ,92
ALFRED ,7232
ALFREDO ,122
ALFY ,107
ALGERNON ,17
ALHAGIE ,3
ALHAJI ,50
ALHASAN ,6
ALHASSAN ,21
ALI ,7933
ALIABBAS ,3
ALI-ABBAS ,3
ALIAKBAR ,7
ALI-AKBAR ,8
ALIAS ,14
ALICAN ,21
ALICK ,15
ALIE ,3
ALIEU ,126
ALIF ,33
ALIHAN ,4
ALI-HASSAN ,3
ALIJAH ,62
ALIM ,123
ALIN ,39
ALIOU ,3
ALIOUNE ,9
ALI-RAZA ,6
ALIREZA ,20
ALISAN ,3
ALISDAIR ,98
ALISHAN ,7
ALISHER ,3
ALISINA ,7
ALISTAIR ,2876
ALISTAR ,4
ALISTER ,270
ALIX ,188
ALIXANDER ,3
ALIYAAN ,49
ALIYAN ,61
ALIYU ,9
ALLAM ,3
ALLAN ,516
ALLEN ,203
ALLISTAIR ,3
ALLISTER ,69
ALLY ,79
ALMAAN ,3
ALMAMY ,3
ALMAN ,25
ALMAS ,6
ALMEER ,6
ALMIR ,58
ALOK ,7
ALOM ,3
ALON ,12
ALONIAB ,7
ALONSO ,77
ALONZO ,41
ALOYSIUS ,3
ALP ,57
ALPER ,64
ALPEREN ,29
ALPHA ,147
ALPHIE ,46
ALPHONS ,3
ALPHONSE ,23
ALPHONSO ,3
ALPHONSUS ,4
ALPHY ,3
ALROY ,3
ALSTON ,3
ALTAF ,13
ALTAIR ,3
ALTAN ,14
ALTAY ,18
ALTEO ,8
ALTIN ,18
ALTON ,19
ALUN ,96
ALUSINE ,11
ALVAN ,3
ALVAR ,6
ALVARO ,114
ALVEY ,3
ALVI ,32
ALVIE ,26
ALVIN ,606
ALVIS ,8
ALVY ,6
ALVYN ,3
ALWALEED ,10
ALWIN ,23
ALWYN ,63
ALY ,38
ALYAAN ,85
ALYAN ,77
ALYAS ,11
AL-YASA ,3
ALYN ,3
ALYX ,7
AMAAD ,143
AMAAN ,2652
AMAANI ,6
AMAAR ,274
AMAAZ ,3
AMAD ,50
AMADEO ,11
AMADEUS ,34
AMADEUSZ ,12
AMADOU ,104
AMADU ,23
AMAL ,91
AMAN ,1597
AMANDEEP ,264
AMANDIP ,3
AMANI ,160
AMANJEET ,3
AMANJIT ,3
AMANJOT ,13
AMANN ,3
AMANPREET ,17
AMANRAJ ,3
AMANUEL ,18
AMANULLAH ,3
AMANVEER ,47
AMANVIR ,30
AMAR ,1044
AMARA ,17
AMARDEEP ,112
AMARE ,48
AMAREE ,3
AMARI ,977
AMARIE ,12
AMARII ,42
AMARIO ,9
AMARION ,31
AMARIS ,3
AMARJEET ,3
AMARJIT ,11
AMARJOT ,10
AMARN ,10
AMARNI ,42
AMARO ,3
AMARPAL ,15
AMARPREET ,6
AMARRI ,3
AMARU ,46
AMARVEER ,49
AMARVIR ,7
AMAURI ,3
AMAURY ,17
AMAY ,25
AMAZIAH ,5
AMBROSE ,161
AMED ,16
AMEDEO ,3
AMEEN ,365
AMEER ,523
AMEL ,3
AMELIO ,7
AMEN ,74
AMER ,135
AMEYA ,12
AMEZ ,3
AMIAS ,13
AMID ,9
AMIEL ,33
AMIIN ,30
AMIIR ,6
AMIL ,55
AMIN ,721
AMINE ,176
AMINOOR ,4
AMINUL ,56
AMINUR ,53
AMIR ,2474
AMIRALI ,4
AMIRUL ,28
AMISH ,22
AMIT ,207
AMITAI ,10
AMITOJ ,6
AMJAD ,106
AMJED ,7
AMJID ,3
AMMAAR ,311
AMMAD ,19
AMMAN ,130
AMMAR ,753
AMOGH ,31
AMOL ,4
AMON ,31
AMOR ,3
AMORY ,10
AMOS ,499
AMR ,158
AMRAIZ ,3
AMRAJ ,22
AMRAN ,33
AMRIK ,76
AMRINDER ,6
AMRIT ,374
AMRITPAL ,89
AMRO ,16
AMROM ,11
AMRY ,4
AMUN ,29
AMZA ,3
AN ,16
ANAIAH ,4
ANAKIN ,99
ANAM ,6
ANAN ,6
ANAND ,230
ANANDA ,6
ANANT ,15
ANANTH ,3
ANAS ,1441
ANASHE ,22
ANASS ,22
ANASTASIOS ,28
ANATOLE ,17
ANAY ,216
ANDER ,5
ANDERS ,125
ANDERSON ,309
ANDI ,134
ANDILE ,24
ANDOR ,4
ANDRAE ,3
ANDRAS ,28
ANDRE ,2069
ANDREA ,160
ANDREAS ,1031
ANDREI ,687
ANDREJ ,92
ANDREJS ,6
ANDRE-JUNIOR ,3
ANDRES ,206
ANDREW ,18630
ANDREW-JAMES ,19
ANDREW-JOHN ,3
ANDREW-JUNIOR ,19
ANDREY ,127
ANDRI ,5
ANDRIA ,7
ANDRIES ,7
ANDRIUS ,17
ANDRIY ,12
ANDRZEJ ,87
ANDY ,750
ANEEK ,4
ANEEL ,18
ANEEQ ,80
ANEES ,273
ANEESH ,67
ANEIL ,13
ANEIRIN ,129
ANEL ,3
ANELKA ,3
ANES ,71
ANESH ,8
ANESS ,8
ANESU ,65
ANEURIN ,384
ANGAD ,173
ANGADVEER ,3
ANGE ,24
ANGEL ,233
ANGELO ,911
ANGELOS ,51
ANGELUS ,14
ANGUS ,3773
ANH ,88
ANHAD ,14
ANHAR ,3
ANIK ,36
ANIKET ,36
ANIL ,258
ANIQ ,37
ANIQUE ,3
ANIR ,3
ANIRUDDHA ,4
ANIRUDH ,81
ANIS ,305
ANISH ,581
ANISS ,3
ANISUL ,3
ANISUR ,6
ANIV ,3
ANJAY ,4
ANJOLAOLUWA ,14
ANJUM ,14
ANKIT ,83
ANKUR ,7
ANKUSH ,24
ANMOL ,109
ANNAN ,3
ANNAS ,49
ANOJAN ,3
ANOKH ,3
ANOOP ,82
ANOSH ,10
ANOTIDA ,3
ANOTIDAISHE ,9
ANOTIDASHE ,3
ANOUAR ,3
ANOUSH ,3
ANRAJ ,3
ANS ,33
ANSAAR ,3
ANSAR ,27
ANSEL ,63
ANSELM ,12
ANSH ,285
ANSHDEEP ,3
ANSHPREET ,3
ANSHU ,3
ANSHUL ,21
ANSHVEER ,7
ANSON ,100
ANTANAS ,3
ANTEK ,3
ANTHONIE ,4
ANTHONY ,11376
ANTHONY-JAMES ,35
ANTHONY-JOHN ,7
ANTHONY-JUNIOR ,6
ANTOINE ,361
ANTON ,1508
ANTONI ,1623
ANTONIE ,6
ANTONIN ,33
ANTONINO ,44
ANTONIO ,1769
ANTONIOS ,28
ANTONIS ,19
ANTONY ,2127
ANTWAN ,17
ANTWON ,9
ANTWONE ,35
ANU ,3
ANUAR ,8
ANUJ ,93
ANUJAN ,3
ANUOLUWA ,4
ANUOLUWAPO ,14
ANURAG ,3
ANUSAN ,4
ANUSH ,42
ANUSHAN ,7
ANVAY ,9
ANWAAR ,8
ANWAR ,348
ANZAR ,28
AODAN ,3
AODHAN ,141
AOUN ,3
AOUS ,5
APISAN ,3
APOLLO ,78
APOLLON ,3
AQEEB ,61
AQEEL ,341
AQEIL ,3
AQIB ,547
AQIL ,130
AQUIB ,10
ARA ,50
ARAD ,47
ARAF ,26
ARAFAAT ,3
ARAFAT ,116
ARAFATH ,25
ARAGORN ,3
ARAIZ ,7
ARAM ,106
ARAMIS ,20
ARAN ,853
ARANDEEP ,88
ARANDIP ,3
ARANJIT ,4
ARANN ,6
ARANVEER ,6
ARAS ,168
ARASH ,130
ARAV ,156
ARAVIND ,11
ARAYAN ,3
ARAZ ,25
ARBAAZ ,139
ARBAB ,22
ARBAS ,3
ARBAZ ,67
ARBEN ,24
ARBER ,125
ARBI ,10
ARBIE ,3
ARBNOR ,3
ARBRI ,7
ARBY ,3
ARCHEE ,7
ARCHER ,854
ARCHEY ,24
ARCHI ,31
ARCHIBALD ,1176
ARCHIBOLD ,16
ARCHIE ,38137
ARCHIEBALD ,3
ARCHIE-GEORGE ,5
ARCHIE-J ,4
ARCHIE-JACK ,3
ARCHIE-JAI ,4
ARCHIE-JAMES ,80
ARCHIE-JAY ,28
ARCHIE-JOE ,4
ARCHIE-JOHN ,9
ARCHIE-LEE ,105
ARCHIE-LEIGH ,3
ARCHIE-RAY ,17
ARCHIMEDES ,7
ARCHIT ,17
ARCHY ,139
ARDA ,562
ARDAN ,12
ARDEN ,72
ARDI ,29
ARDIAN ,3
ARDIL ,39
ARDIT ,31
AREEB ,318
AREECE ,3
AREEF ,3
AREEN ,27
AREES ,19
AREEZ ,46
AREL ,23
AREN ,156
ARES ,57
ARETAS ,7
AREZ ,20
ARFAN ,73
ARFATH ,3
ARFON ,7
ARGJENT ,4
ARHAAM ,3
ARHAAN ,75
ARHAM ,442
ARHAN ,28
